,struct_typ,year_built,no_stories,meandamage
792,1,1996,3.0,0.20181
793,4,1994,2.0,0.19789
794,1,1997,3.0,0.20384
795,4,1993,2.0,0.19563
796,4,1979,2.0,0.17244
797,4,1979,1.0,0.17249
798,4,1979,2.0,0.17252
799,4,1979,1.0,0.17254
800,4,1979,1.0,0.1725799999999999
801,4,1979,2.0,0.1726099999999999
802,1,2003,4.0,0.2084599999999999
803,4,1996,3.0,0.20165
804,4,1995,3.0,0.1995
805,1,2004,1.0,0.21859
806,3,2013,1.0,0.1191599999999999
807,4,2013,1.0,0.23969
808,4,2013,1.0,0.2398
809,1,2000,2.0,0.20831
810,4,1992,1.0,0.1940599999999999
811,1,1998,3.0,0.2052699999999999
812,1,2014,3.0,0.2453699999999999
813,4,1985,1.0,0.1815
814,4,1985,1.0,0.18154
815,4,1985,2.0,0.18157
816,4,1996,3.0,0.2016099999999999
817,3,2014,2.0,0.11424
818,1,1995,4.0,0.18672
819,1,2014,2.0,0.24568
820,4,1994,2.0,0.19783
821,4,1981,2.0,0.1756
822,4,1986,1.0,0.18341
823,4,1981,2.0,0.17553
824,4,1981,1.0,0.17555
825,4,1983,1.0,0.17867
826,3,2014,1.0,0.1248
827,1,2006,4.0,0.2155099999999999
828,4,1994,3.0,0.19792
829,4,1992,1.0,0.19417
830,1,1997,3.0,0.20357
831,4,1981,1.0,0.17559
832,4,1995,3.0,0.19967
